# Episode,Reward,Timestep
850,514.34,191288
851,322.54,191480
852,439.08,191816
853,527.34,191960
854,375.69,192144
855,415.59,192312
856,510.86,192336
857,495.08,192560
858,258.68,192976
859,505.35,193016
860,440.50,193136
861,508.24,193752
862,474.11,193760
863,525.24,193984
864,391.36,194168
865,300.71,194320
866,293.36,194640
867,417.56,194824
868,399.53,194984
869,286.40,195552
870,373.99,195760
871,383.60,195768
872,595.96,195992
873,487.84,196304
874,452.83,196376
875,520.58,196592
876,330.86,196864
877,523.21,197416
878,504.72,197432
879,424.49,197504
880,494.86,198000
881,411.59,198008
882,497.70,198384
883,322.23,198464
884,381.54,198504
885,536.33,199192
886,407.51,199400
887,533.87,199456
888,394.32,199640
889,582.60,200016
890,473.06,200096
891,492.83,200160
892,410.20,200392
893,479.31,200840
894,458.43,201296
895,468.82,201360
896,580.78,201648
897,410.20,201720
898,431.58,201952
899,303.64,202024
900,468.96,202064
901,254.58,202344
902,518.86,203096
903,402.20,203160
904,423.61,203216
905,370.46,203416
906,279.84,203552
907,471.51,203584
908,341.49,203624
909,419.83,203640
910,602.61,205104
911,428.51,205128
912,400.25,205144
913,413.98,205152
914,419.01,205168
915,546.38,205216
916,500.98,205224
917,528.71,205400
918,247.87,206400
919,456.48,206696
920,489.04,206960
921,428.77,206976
922,464.10,206992
923,515.23,207056
924,439.62,207176
925,518.46,207288
926,272.50,208336
927,448.64,208368
928,372.09,208448
929,455.48,208472
930,417.51,208720
931,461.21,208888
932,548.94,208944
933,443.04,209160
934,449.52,210088
935,511.22,210168
936,362.44,210200
937,230.53,210216
938,442.71,210344
939,503.05,210576
940,503.63,210576
941,456.26,210800
942,468.21,211472
943,464.90,211936
944,373.60,211944
945,532.60,212080
946,351.07,212120
947,500.45,212152
948,374.80,212408
949,566.05,212584
950,179.01,213384
951,553.12,213480
952,493.97,213816
953,517.23,213880
954,427.39,213920
955,475.62,213936
956,742.61,213944
957,558.43,214088
958,362.73,215232
959,444.95,215392
960,494.46,215488
961,258.95,215496
962,392.28,215608
963,380.95,215768
964,496.98,215888
965,620.80,215888
966,502.30,216944
967,477.77,217008
968,427.44,217128
969,457.39,217424
970,710.87,217504
971,497.84,217736
972,500.70,217848
973,598.60,217896
974,356.93,218664
975,396.74,218728
976,352.41,219064
977,370.30,219136
978,754.40,219432
979,536.96,219464
980,462.57,219608
981,489.36,219856
982,519.88,220560
983,435.07,220632
984,565.16,220736
985,428.81,220840
986,540.01,221080
987,449.16,221368
988,371.35,221440
989,498.44,221672
990,216.79,221744
991,390.24,222224
992,536.05,222264
993,432.67,222456
994,337.78,222856
995,451.42,222880
996,473.38,223096
997,415.37,223200
998,444.55,223560
999,373.60,223888
1000,422.29,224120
